패턴이름,해당숫자,최소,최대
,",4,5,7,10,14,18,21,24,25,29,30,33,35,37,39,40,43,44,",0,5
,",3,4,5,9,10,14,15,16,18,19,20,22,23,24,32,34,35,39,",0,5
,",1,2,5,6,7,8,10,11,14,15,20,21,23,31,33,34,43,45,",0,5
,",2,4,6,7,8,10,12,13,14,18,20,22,25,32,34,39,41,",0,5
,",1,4,6,7,8,11,17,18,21,24,26,32,34,36,37,38,39,43,",0,5
,",2,4,5,9,10,11,12,13,14,15,20,29,30,32,34,39,40,43,",0,5
,",1,2,4,5,6,7,9,10,12,17,18,21,26,32,34,35,42,43,44,",0,5
,",3,10,11,13,15,16,18,19,23,24,26,28,31,33,37,40,42,45,",0,5
,",10,12,17,23,24,25,26,28,30,31,32,35,36,38,39,43,44,",0,5
,",5,7,8,10,11,13,20,22,23,25,27,31,32,35,38,40,43,",0,5
,",2,4,5,7,9,12,14,18,19,21,26,30,32,35,38,40,43,45,",0,5
,",4,5,6,7,9,11,15,16,17,18,22,26,32,34,35,36,37,38,42,43,",0,5
,",3,5,6,9,10,11,15,16,17,19,21,22,35,36,38,40,43,",0,5
,",5,8,9,10,12,14,16,17,18,19,21,25,30,33,40,43,44,45,",0,5
,",2,4,7,8,10,11,14,15,17,18,19,22,23,31,34,42,43,",0,5
,",1,2,3,4,5,11,12,14,18,19,20,22,32,34,36,39,40,43,",0,5
,",6,7,9,13,19,20,21,22,23,27,34,36,38,40,42,43,44,",0,5
,",2,3,4,8,10,14,16,17,21,23,26,34,36,39,41,42,43,",0,5
,",1,5,7,13,14,15,18,22,23,26,30,31,33,35,36,37,39,40,44,",0,5
,",5,6,12,17,18,20,21,22,23,29,30,32,34,37,42,43,44,",0,5
,",4,5,6,8,12,17,18,19,20,21,24,26,34,39,40,41,42,43,",0,5
,",1,4,6,10,12,13,15,17,18,20,21,25,26,29,35,39,40,",0,5
,",2,8,11,12,14,15,16,18,20,22,24,25,26,31,32,34,36,44,",0,5
,",3,4,8,12,13,16,20,22,24,27,29,32,34,37,39,41,43,",0,5
,",5,7,10,11,12,14,19,20,21,23,24,27,28,29,33,35,37,38,40,44,",0,5
,",2,4,5,7,11,17,21,22,23,25,26,27,28,29,32,33,39,43,",0,5
,",2,3,4,5,11,12,17,20,21,22,23,26,30,34,37,40,43,45,",0,5
,",6,9,12,13,17,18,19,21,22,26,31,33,34,36,38,39,40,43,",0,5
,",5,9,12,13,14,15,19,21,23,27,32,35,36,37,40,43,44,",0,5
,",1,4,6,8,9,11,17,22,23,25,28,29,31,33,35,42,43,44,45,",0,5
,",4,5,6,8,9,10,11,17,18,19,21,23,26,32,34,35,40,",0,5
,",4,8,12,13,14,15,16,22,25,28,32,33,34,35,41,42,43,45,",0,5
,",1,2,3,8,12,14,19,20,21,26,29,32,36,41,43,44,45,",0,5
,",1,6,8,10,11,14,18,22,27,28,30,32,36,37,41,43,44,45,",0,5
,",1,2,3,4,8,12,13,14,15,16,18,20,28,32,34,38,40,43,44,",0,5
,",4,5,8,9,10,11,12,13,14,19,22,23,25,27,34,36,39,42,43,44,",0,5
,",1,4,9,17,19,20,22,24,25,27,28,30,31,32,34,38,40,43,44,",0,5
,",3,6,7,10,12,15,18,20,24,27,28,29,35,36,37,40,41,43,",0,5
,",2,5,7,10,11,14,15,18,20,21,22,24,35,39,40,42,43,44,",0,5
,",8,9,10,12,14,18,20,23,24,29,31,32,35,36,37,38,39,41,42,43,",0,5
,",2,4,6,7,10,11,12,17,20,22,23,26,32,33,36,37,38,42,43,44,",0,5
,",4,5,6,7,16,17,20,23,26,30,33,34,35,36,37,41,43,45,",0,5
상 23  26,",43,18,10,4,34,40,32,14,5,21,20,22,12,7,36,23,2,35,11,39,44,8,",2,6
생태 하위 03,",16,42,1,30,37,9,33,41,45,29,3,31,27,13,24,28,",0,3
세로 25,",1,2,4,5,7,9,10,12,14,18,21,22,23,27,32,35,36,37,38,39,41,42,43,45,",1,6
2,",2,4,5,8,9,10,11,14,18,20,22,23,26,28,32,33,35,36,37,38,39,40,41,42,43,45,",1,6
3,",1,2,4,5,7,10,11,13,15,16,17,20,21,22,23,25,27,29,31,32,33,34,35,36,39,40,41,43,44,",1,6
4,",1,2,5,6,8,11,12,13,14,15,16,17,20,22,23,25,30,32,34,36,38,39,40,42,43,44,",1,6
5,",1,4,6,7,9,10,12,13,14,15,17,18,20,21,22,23,26,30,32,34,36,37,38,39,40,41,43,44,",1,6
6,",1,2,4,5,6,7,8,11,12,14,16,18,19,20,21,23,26,27,28,29,30,33,34,35,36,37,38,39,40,41,43,44,",1,6
7,",1,2,3,4,5,6,9,10,12,13,14,16,18,19,20,21,23,24,26,31,32,34,35,36,41,43,44,45,",1,6
8,",6,7,9,10,11,12,13,15,19,20,21,22,24,25,29,30,31,33,34,35,36,37,38,39,42,43,44,",1,6
9,",2,3,4,10,11,12,15,16,17,18,20,21,22,23,25,26,30,31,32,33,34,35,36,38,42,43,45,",1,6
10,",3,4,5,6,8,10,11,14,15,16,17,18,19,21,25,26,29,30,32,33,34,35,38,39,40,41,43,45,",1,6
11,",5,7,8,9,11,12,14,16,17,18,21,22,23,25,27,28,29,31,32,33,34,36,37,38,42,43,44,45,",1,6
12,",3,4,6,7,8,10,12,14,17,18,19,20,22,23,25,28,30,32,34,35,36,37,38,39,40,42,44,",1,6
13,",4,5,8,10,13,14,15,16,17,18,19,21,22,23,24,25,28,29,30,32,35,36,37,39,40,42,43,44,45,",1,6
14,",1,2,3,4,6,7,8,10,11,12,14,17,18,19,20,21,25,26,28,29,31,35,36,37,39,40,41,43,45,",1,6
가로 8분할,",1,2,3,4,5,6,7,8,",0,3
,",2,3,4,5,6,7,8,9,",0,3
,",3,4,5,6,7,8,9,10,",0,3
,",4,5,6,7,8,9,10,11,",0,3
,",5,6,7,8,9,10,11,12,",0,3
,",6,7,8,9,10,11,12,13,",0,3
,",7,8,9,10,11,12,13,14,",0,3
,",8,9,10,11,12,13,14,15,",0,3
,",9,10,11,12,13,14,15,16,",0,3
,",10,11,12,13,14,15,16,17,",0,3
,",11,12,13,14,15,16,17,18,",0,3
,",12,13,14,15,16,17,18,19,",0,3
,",13,14,15,16,17,18,19,20,",0,3
,",14,15,16,17,18,19,20,21,",0,3
,",15,16,17,18,19,20,21,22,",0,3
,",16,17,18,19,20,21,22,23,",0,3
,",17,18,19,20,21,22,23,24,",0,3
,",18,19,20,21,22,23,24,25,",0,3
,",19,20,21,22,23,24,25,26,",0,3
,",20,21,22,23,24,25,26,27,",0,3
,",21,22,23,24,25,26,27,28,",0,3
,",22,23,24,25,26,27,28,29,",0,3
,",23,24,25,26,27,28,29,30,",0,3
,",24,25,26,27,28,29,30,31,",0,3
,",25,26,27,28,29,30,31,32,",0,3
,",26,27,28,29,30,31,32,33,",0,3
,",27,28,29,30,31,32,33,34,",0,3
,",28,29,30,31,32,33,34,35,",0,3
,",29,30,31,32,33,34,35,36,",0,3
,",30,31,32,33,34,35,36,37,",0,3
,",31,32,33,34,35,36,37,38,",0,3
,",32,33,34,35,36,37,38,39,",0,3
,",33,34,35,36,37,38,39,40,",0,3
,",34,35,36,37,38,39,40,41,",0,3
,",35,36,37,38,39,40,41,42,",0,3
,",36,37,38,39,40,41,42,43,",0,3
,",37,38,39,40,41,42,43,44,",0,3
,",38,39,40,41,42,43,44,45,",0,3
,",1,39,40,41,42,43,44,45,",0,3
,",1,2,40,41,42,43,44,45,",0,3
,",1,2,3,41,42,43,44,45,",0,3
,",1,2,3,4,42,43,44,45,",0,3
,",1,2,3,4,5,43,44,45,",0,3
,",1,2,3,4,5,6,44,45,",0,3
,",1,2,3,4,5,6,7,45,",0,3
세로8,",1,5,8,15,22,29,36,43,",0,3
,",2,6,9,16,23,30,37,44,",0,3
,",3,7,10,17,24,31,38,45,",0,3
,",1,4,8,11,18,25,32,39,",0,3
,",2,5,9,12,19,26,33,40,",0,3
,",3,6,10,13,20,27,34,41,",0,3
,",4,7,11,14,21,28,35,42,",0,3
,",5,8,12,15,22,29,36,43,",0,3
,",6,9,13,16,23,30,37,44,",0,3
,",7,10,14,17,24,31,38,45,",0,3
,",1,8,11,15,18,25,32,39,",0,3
,",2,9,12,16,19,26,33,40,",0,3
,",3,10,13,17,20,27,34,41,",0,3
,",4,11,14,18,21,28,35,42,",0,3
,",5,12,15,19,22,29,36,43,",0,3
,",6,13,16,20,23,30,37,44,",0,3
,",7,14,17,21,24,31,38,45,",0,3
,",1,8,15,18,22,25,32,39,",0,3
,",2,9,16,19,23,26,33,40,",0,3
,",3,10,17,20,24,27,34,41,",0,3
,",4,11,18,21,25,28,35,42,",0,3
,",5,12,19,22,26,29,36,43,",0,3
,",6,13,20,23,27,30,37,44,",0,3
,",7,14,21,24,28,31,38,45,",0,3
,",1,8,15,22,25,29,32,39,",0,3
,",2,9,16,23,26,30,33,40,",0,3
,",3,10,17,24,27,31,34,41,",0,3
,",4,11,18,25,28,32,35,42,",0,3
,",5,12,19,26,29,33,36,43,",0,3
,",6,13,20,27,30,34,37,44,",0,3
,",7,14,21,28,31,35,38,45,",0,3
,",1,8,15,22,29,32,36,39,",0,3
,",2,9,16,23,30,33,37,40,",0,3
,",3,10,17,24,31,34,38,41,",0,3
,",4,11,18,25,32,35,39,42,",0,3
,",5,12,19,26,33,36,40,43,",0,3
,",6,13,20,27,34,37,41,44,",0,3
,",7,14,21,28,35,38,42,45,",0,3
,",1,8,15,22,29,36,39,43,",0,3
,",2,9,16,23,30,37,40,44,",0,3
,",3,10,17,24,31,38,41,45,",0,3
,",1,4,11,18,25,32,39,42,",0,3
,",2,5,12,19,26,33,40,43,",0,3
,",3,6,13,20,27,34,41,44,",0,3
,",4,7,14,21,28,35,42,45,",0,3
